"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078254","BSU11890","NP_389071.1","ribosomal-protein-alanine N-acetyltransferase","58531","Escherichia coli 536","110641242","ECP_1058","WP_000468182.1","ribosomal-protein-S5-alanine N-acetyltransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767270","BSU12000","NP_389082.2","transcriptional antiterminator","58531","Escherichia coli 536","110643904","ECP_3761","WP_001314234.1","putative transcriptional antiterminator","2","BSU04160[transcriptional regulator];BSU38600[transcriptional activator of the lichenan operon]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078271","BSU12060","NP_389088.1","hypothetical protein","58531","Escherichia coli 536","110640744","ECP_0544","WP_000186633.1","hypothetical protein","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767274","BSU12080","NP_389090.2","protoheme IX farnesyltransferase","58531","Escherichia coli 536","110640688","ECP_0488","WP_000576425.1","protoheme IX farnesyltransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078281","BSU12160","NP_389098.1","oxidoreductase","58531","Escherichia coli 536","110642414","ECP_2247","WP_000778064.1","nitrate reductase catalytic subunit","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078287","BSU12220","NP_389104.1","glycosyltransferase","58531","Escherichia coli 536","110640512","ECP_0306","WP_001298145.1","putative glycosyl transferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078289","BSU12240","NP_389106.1","ABC transporter permease","58531","Escherichia coli 536","110640757","ECP_0557","WP_001295323.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078294","BSU12290","NP_389111.1","NADH dehydrogenase","58531","Escherichia coli 536","110641285","ECP_1101","WP_001295966.1","NADH dehydrogenase","1","BSU32100[NAD-disulfide oxidoreductase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078295","BSU12300","NP_389112.1","glucuronate isomerase","58531","Escherichia coli 536","110643336","ECP_3183","WP_000187442.1","glucuronate isomerase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078297","BSU12320","NP_389114.1","oxidoreductase","58531","Escherichia coli 536","110643256","ECP_3102","WP_000214540.1","putative malate/L-lactate dehydrogenase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078298","BSU12330","NP_389115.1","oxidoreductase","58531","Escherichia coli 536","110641706","ECP_1528","WP_000836036.1","putative dehydrogenase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078299","BSU12340","NP_389116.1","mannonate dehydratase","58531","Escherichia coli 536","110644765","ECP_4658","WP_000438582.1","mannonate dehydratase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078301","BSU12360","NP_389118.1","hexuronate transporter","58531","Escherichia coli 536","110644302","ECP_4175","WP_000382186.1","transport protein YjjL","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078302","BSU12370","NP_389119.1","LacI family transcriptional regulator","58531","Escherichia coli 536","110644093","ECP_3953","WP_001296587.1","transcriptional repressor RbsR","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078303","BSU12380","NP_389120.1","altronate oxidoreductase","58531","Escherichia coli 536","110641683","ECP_1505","WP_000854642.1","altronate oxidoreductase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767278","BSU12390","NP_389121.2","altronate hydrolase","58531","Escherichia coli 536","110643335","ECP_3182","WP_001199369.1","altronate hydrolase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767294","BSU12690","NP_389151.2","PBSX prophage murein binding protein","58531","Escherichia coli 536","110642788","ECP_2628","WP_000522415.1","LysM domain/BON superfamily protein","1","BSU26020[hypothetical protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767297","BSU12840","NP_389167.2","low-affinity inorganic phosphate transporter","58531","Escherichia coli 536","110643226","ECP_3072","WP_000933273.1","inorganic phosphate transporter","1","","ECP_3583[low-affinity inorganic phosphate transporter 1]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767297","BSU12840","NP_389167.2","low-affinity inorganic phosphate transporter","58531","Escherichia coli 536","110643730","ECP_3583","WP_000902780.1","low-affinity inorganic phosphate transporter 1","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767299","BSU12890","NP_389172.2","glycosyltransferase","58531","Escherichia coli 536","110642462","ECP_2297","WP_000461633.1","undecaprenyl phosphate 4-deoxy-4-formamido-L-arabinose transferase","2","BSU08600[glycosyl transferase];BSU13390[glycosyltransferase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767300","BSU12900","NP_389173.2","membrane bound serine protease Do","58531","Escherichia coli 536","110643469","ECP_3318","WP_000497726.1","serine endoprotease","1","BSU33000[HtrA-like serine protease]","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767300","BSU12900","NP_389173.2","membrane bound serine protease Do","58531","Escherichia coli 536","110640382","ECP_0171","WP_000753942.1","serine endoprotease","3","BSU33000[HtrA-like serine protease]","ECP_3318[serine endoprotease];ECP_3317[serine endoprotease]","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767300","BSU12900","NP_389173.2","membrane bound serine protease Do","58531","Escherichia coli 536","110643468","ECP_3317","WP_011579215.1","serine endoprotease","1","BSU33000[HtrA-like serine protease]","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078358","BSU12930","NP_389176.1","dipeptide ABC transporter permease","58531","Escherichia coli 536","110641473","ECP_1291","WP_000911112.1","oligopeptide transporter permease","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078359","BSU12940","NP_389177.1","dipeptide ABC transporter permease","58531","Escherichia coli 536","110641474","ECP_1292","WP_000979665.1","oligopeptide transport system permease protein OppC","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078360","BSU12950","NP_389178.1","dipeptide ABC transporter ATP-binding protein","58531","Escherichia coli 536","110641475","ECP_1293","WP_000110954.1","oligopeptide transporter ATP-binding component","1","BSU11460[oligopeptide ABC transporter ATP-binding protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767302","BSU12960","NP_389179.2","dipeptide ABC transporter dipeptide-binding lipoprotein","58531","Escherichia coli 536","110643263","ECP_3109","WP_011579205.1","putative binding protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767302","BSU12960","NP_389179.2","dipeptide ABC transporter dipeptide-binding lipoprotein","58531","Escherichia coli 536","110641472","ECP_1290","WP_024174317.1","periplasmic oligopeptide-binding protein precursor","1","","ECP_3109[putative binding protein]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767303","BSU12970","NP_389180.2","L,D-carboxypeptidase","58531","Escherichia coli 536","110641417","ECP_1235","WP_000051567.1","L,D-carboxypeptidase A","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078363","BSU12980","NP_389181.1","L-Ala-D/L-Glu epimerase","58531","Escherichia coli 536","110641560","ECP_1378","WP_001261210.1","putative mandelate racemase/muconate lactonizing enzyme family protein","1","BSU30780[O-succinylbenzoate-CoA synthase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767305","BSU13000","NP_389183.2","cell wall oligopeptide ABC transporter ATP binding protein","58531","Escherichia coli 536","110641476","ECP_1294","WP_000994905.1","oligopeptide transport ATP-binding protein OppF","2","BSU11370[oligopeptide ABC transporter ATP-binding protein];BSU11470[oligopeptide ABC transporter ATP-binding protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078366","BSU13010","NP_389184.1","6-phosphogluconolactonase","58531","Escherichia coli 536","110640969","ECP_0779","WP_000815434.1","6-phosphogluconolactonase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812222","BSU13030","NP_389186.2","acyl-CoA hydrolase","58531","Escherichia coli 536","110641483","ECP_1301","WP_000108160.1","acyl-CoA thioester hydrolase","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078369","BSU13040","NP_389187.1","nitric oxide dioxygenase","58531","Escherichia coli 536","110642714","ECP_2554","WP_000883093.1","nitric oxide dioxygenase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078371","BSU13060","NP_389189.1","hypothetical protein","58531","Escherichia coli 536","110641103","ECP_0917","WP_000642840.1","putative membrane protein YcaP","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078375","BSU13100","NP_389193.1","efflux transporter","58531","Escherichia coli 536","110644509","ECP_4394","WP_000118482.1","quaternary ammonium compound-resistance protein SugE","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767307","BSU13110","NP_389194.2","formyltetrahydrofolate deformylase","58531","Escherichia coli 536","110641461","ECP_1279","WP_000555849.1","formyltetrahydrofolate deformylase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767308","BSU13120","NP_389195.2","gamma-glutamyl kinase","58531","Escherichia coli 536","110640478","ECP_0271","WP_001285288.1","gamma-glutamyl kinase","1","BSU18470[gamma-glutamyl kinase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767309","BSU13130","NP_389196.2","gamma-glutamyl phosphate reductase","58531","Escherichia coli 536","110640479","ECP_0272","WP_000893298.1","gamma-glutamyl phosphate reductase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078379","BSU13140","NP_389197.1","peroxiredoxin","58531","Escherichia coli 536","110641662","ECP_1484","WP_000152305.1","osmotically inducible protein C","1","BSU13160[organic hydroperoxide resistance reductase B]","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078381","BSU13160","NP_389199.1","organic hydroperoxide resistance reductase B","58531","Escherichia coli 536","110641662","ECP_1484","WP_000152305.1","osmotically inducible protein C","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767311","BSU13180","NP_389201.2","5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase","58531","Escherichia coli 536","110644154","ECP_4023","WP_000153919.1","5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078390","BSU13250","NP_389208.1","two-component response regulator YkoH","58531","Escherichia coli 536","110640801","ECP_0602","WP_000770953.1","DNA-binding transcriptional activator CusR","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078390","BSU13250","NP_389208.1","two-component response regulator YkoH","58531","Escherichia coli 536","110642074","ECP_1902","WP_001347103.1","transcriptional regulatory protein YedW","1","","ECP_0602[DNA-binding transcriptional activator CusR]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078399","BSU13340","NP_389217.1","MarR family transcriptional regulator","58531","Escherichia coli 536","110642809","ECP_2649","WP_000378442.1","transcriptional repressor MprA","1","BSU13670[MarR family transcriptional regulator]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078404","BSU13390","NP_389222.1","glycosyltransferase","58531","Escherichia coli 536","110642462","ECP_2297","WP_000461633.1","undecaprenyl phosphate 4-deoxy-4-formamido-L-arabinose transferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812223","BSU13420","YP_054577.1","sensor protein","58531","Escherichia coli 536","110641521","ECP_1339","WP_000859934.1","RNase II stability modulator","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078407","BSU13430","NP_389226.1","integral inner membrane protein","58531","Escherichia coli 536","110642521","ECP_2356","WP_000364337.1","hypothetical protein","1","","ECP_3191[DedA family, membrane protein]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078407","BSU13430","NP_389226.1","integral inner membrane protein","58531","Escherichia coli 536","110643344","ECP_3191","WP_000422149.1","DedA family, membrane protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078413","BSU13490","NP_389232.1","heat shock protein HtpX","58531","Escherichia coli 536","110641947","ECP_1773","WP_000984517.1","heat shock protein HtpX","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078417","BSU13530","NP_389236.1","two-component sensor histidine kinase","58531","Escherichia coli 536","110642429","ECP_2262","WP_001297920.1","sensory histidine kinase AtoS","4","BSU13660[histidine kinase phosphorylating Spo0A];BSU13990[sporulation-specific ATP-dependent protein histidine kinase];BSU14490[two-component sensor histidine kinase]","ECP_4216[sensor protein ZraS]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078417","BSU13530","NP_389236.1","two-component sensor histidine kinase","58531","Escherichia coli 536","110644338","ECP_4216","WP_001211899.1","sensor protein ZraS","3","BSU13660[histidine kinase phosphorylating Spo0A];BSU13990[sporulation-specific ATP-dependent protein histidine kinase];BSU14490[two-component sensor histidine kinase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078418","BSU13540","NP_389237.1","O6-alkylguanine DNA alkyltransferase","58531","Escherichia coli 536","110641569","ECP_1389","WP_000944999.1","O-6-alkylguanine-DNA:cysteine-protein methyltransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078421","BSU13570","NP_389240.1","hydrolase","58531","Escherichia coli 536","110640456","ECP_0249","WP_001118042.1","hypothetical protein","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078422","BSU13580","NP_389241.1","transaminase","58531","Escherichia coli 536","110642569","ECP_2405","WP_000785931.1","aminotransferase","1","BSU37690[transaminase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078430","BSU13660","NP_389249.1","histidine kinase phosphorylating Spo0A","58531","Escherichia coli 536","110642429","ECP_2262","WP_001297920.1","sensory histidine kinase AtoS","1","","ECP_4216[sensor protein ZraS]",""
